GOUVERNORAT;VILLE;CPOST
Ariana;Ariana;2080
Ariana;La Soukra;2036
Ariana;Raoued;2056
Ben Arous;Ben Arous;2013
Ben Arous;Hammam Lif;2050
Ben Arous;Radès;2040
Bizerte;Bizerte;7000
Bizerte;Menzel Bourguiba;7050
Béja;Béja;9000
Béja;Testour;9060
Gabès;Gabès;6000
Gabès;Métouia;6010
Gafsa;Gafsa;2100
Gafsa;Métlaoui;2130
Jendouba;Jendouba;8100
Jendouba;Tabarka;8110
Kairouan;Haffouz;3130
Kairouan;Kairouan;3100
Kasserine;Kasserine;1200
Kasserine;Sbeitla;1250
Kébili;Douz;4260
Kébili;Kébili;4200
Le Kef;Le Kef;7100
Le Kef;Tajerouine;7150
Mahdia;Chebba;5170
Mahdia;Mahdia;5100
Manouba;Douar Hicher;2086
Manouba;Manouba;2010
Manouba;Oued Ellil;2021
Monastir;Ksar Hellal;5070
Monastir;Monastir;5000
Médenine;Djerba;4180
Médenine;Médenine;4100
Médenine;Zarzis;4170
Nabeul;Hammamet;8050
Nabeul;Korba;8070
Nabeul;Nabeul;8000
Sfax;Sakiet Ezzit;3021
Sfax;Sfax;3000
Sidi Bouzid;Jilma;9110
Sidi Bouzid;Sidi Bouzid;9100
Siliana;Gaâfour;6110
Siliana;Siliana;6100
Sousse;Hammam Sousse;4011
Sousse;Sousse;4000
Tataouine;Remada;3214
Tataouine;Tataouine;3200
Tozeur;Nefta;2240
Tozeur;Tozeur;2200
Tunis;La Marsa;2070
Tunis;Le Bardo;2000
Tunis;Tunis;1000
Zaghouan;Zaghouan;1122
Zaghouan;Zriba;1152
